"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-08-01 ~ 2026-07-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"107","부산광역시 연제구 연산동","2335","2335","0000","연산동일동미라주더스타","70.9956","202607","30","45,000","-","9","개인","개인","2017","반송로 80","-","중개거래","부산 연제구","-"
"108","부산광역시 연제구 연산동","2352","2352","0000","연산더샵","39.9681","202607","30","22,700","-","2","개인","법인","2019","연수로 130","-","중개거래","부산 연제구","-"
"109","부산광역시 수영구 민락동","266","0266","0000","광안현대하이페리온","139.9597","202607","30","71,000","-","8","개인","개인","2007","광남로223번길 31","-","중개거래","부산 수영구","-"
"110","부산광역시 강서구 명지동","3594","3594","0000","더샵명지퍼스트월드2단지","113.9349","202607","30","83,000","-","12","개인","개인","2020","명지국제7로 37","-","중개거래","부산 강서구","-"
"111","부산광역시 강서구 명지동","3343","3343","0000","명지2차금강펜테리움센트럴파크","84.2513","202607","30","38,000","-","9","개인","개인","2016","명지국제5로 109","-","중개거래","부산 강서구","-"
"112","부산광역시 연제구 연산동","243-18","0243","0018","연산엘지","84.9900","202607","30","31,200","-","9","개인","개인","1999","고분로 200","-","중개거래","부산 연제구","-"
"113","부산광역시 강서구 명지동","3595-3","3595","0003","더샵명지퍼스트월드3단지","84.9584","202607","30","62,000","-","23","개인","개인","2020","명지국제2로 41","-","중개거래","부산 강서구","-"
"114","부산광역시 기장군 정관읍 모전리","759","0759","0000","정관롯데캐슬2차","101.5883","202607","30","38,500","-","20","개인","개인","2013","정관3로 51","-","중개거래","부산 기장군","-"
"115","부산광역시 강서구 지사동","1186","1186","0000","협성·DS엘리시안","59.9328","202607","30","13,300","-","9","개인","개인","2015","과학산단로306번길 10","-","중개거래","부산 강서구","-"
"116","부산광역시 기장군 기장읍 교리","65","0065","0000","문화그린맨션","84.1350","202607","30","13,600","-","11","개인","개인","1993","차성로417번길 21","-","중개거래","부산 기장군","-"
"117","부산광역시 강서구 명지동","3328","3328","0000","명지협성휴포레","59.9395","202607","30","27,500","-","3","개인","개인","2016","명지국제5로 141","-","중개거래","부산 강서구","-"
"118","부산광역시 영도구 남항동2가","202","0202","0000","진명드림빌","84.9400","202607","30","16,800","-","3","개인","개인","2003","절영로 89","-","중개거래","부산 영도구","-"
"119","부산광역시 부산진구 범천동","886-41","0886","0041","범일역이즈","49.6578","202607","30","32,000","102동","6","법인","개인","2019","범일로131번길 46","-","직거래","-","26.08.12"
"120","부산광역시 서구 서대신동1가","283","0283","0000","대신푸르지오1차","102.7921","202607","30","76,000","-","7","개인","개인","2018","대영로38번길 11","-","중개거래","부산 서구","-"
"121","부산광역시 부산진구 전포동","890-37","0890","0037","경원프라우드-2","26.7200","202607","30","6,000","-","11","개인","개인","2003","전포대로 163","-","직거래","-","26.07.30"
"122","부산광역시 부산진구 부암동","736","0736","0000","서면동일파크스위트1차","84.9955","202607","30","39,400","-","12","개인","개인","2014","동평로150번길 14","-","중개거래","부산 부산진구","-"
"123","부산광역시 부산진구 연지동","406","0406","0000","연지자이2차","39.9857","202607","30","22,250","-","11","개인","공공기관","2011","초연로 11","-","직거래","-","-"
"124","부산광역시 부산진구 연지동","415","0415","0000","래미안어반파크1단지","59.7600","202607","30","62,500","-","3","개인","개인","2022","성지로 37","-","중개거래","부산 부산진구","-"
